,command,orig,intent,entity
0,я хочу пиратом быть,хожу пиратом номер два,choose_your_fighter,fighter
1,пиратом хочу пойти с другим я,хочу ходить вторым пиратом,choose_your_fighter,fighter
2,хочу я быть первой пираткой,хочу ходить первым пиратом,choose_your_fighter,fighter
3,на корабль пойду я,я буду ходить кораблем,choose_your_fighter,fighter
4,три номер фигурка,фигуркой номер три,choose_your_fighter,fighter
5,второй ход сделал пират,второй пират делает ход,choose_your_fighter,fighter
6,номер пиратом хожу один,хожу пиратом номер один,choose_your_fighter,fighter
7,первая пиратка в ход идет,первый пират делает ход,choose_your_fighter,fighter
8,первый делает пират ход,первый пират делает ход,choose_your_fighter,fighter
9,ходить хочу третьим пиратом,хочу ходить третьим пиратом,choose_your_fighter,fighter
10,пойду я на второй пират,я пойду вторым пиратом,choose_your_fighter,fighter
11,я первый,дваигаюсь первым человечком,choose_your_fighter,fighter
12,я хочу пиратом быть,хожу пиратом номер три,choose_your_fighter,fighter
13,я буду ходить вторым пиратом,я буду ходить вторым пиратом,choose_your_fighter,fighter
14,делает пиратка другая свой ход,второй пират делает ход,choose_your_fighter,fighter
15,хожу пиратом один номер,хожу пиратом номер один,choose_your_fighter,fighter
16,ходить хочу вторым пиратом,хочу ходить вторым пиратом,choose_your_fighter,fighter
17,я пиратом вторым пойду,я пойду вторым пиратом,choose_your_fighter,fighter
18,я хочу пиратом быть,хожу пиратом номер один,choose_your_fighter,fighter
19,пират буду второй я,я буду ходить вторым пиратом,choose_your_fighter,fighter
20,пойду я на корабль,я пойду кораблем,choose_your_fighter,fighter
21,машина делает ход корабля,кораблик делает ход,choose_your_fighter,fighter
22,три номер фигура,фигуркой номер три,choose_your_fighter,fighter
23,три номер фигуркой,фигуркой номер три,choose_your_fighter,fighter
24,хотелось третьего бы я пирата,хочу ходить третьим пиратом,choose_your_fighter,fighter
25,первой хочу быть я пираткой,хочу ходить первым пиратом,choose_your_fighter,fighter
26,фигура три номер,фигуркой номер три,choose_your_fighter,fighter
27,фигуркой номер два,фигуркой номер два,choose_your_fighter,fighter
28,первой бы хотел быть я пираткой,хочу ходить первым пиратом,choose_your_fighter,fighter
29,на третьего хочу пойти я пирата,хочу ходить третьим пиратом,choose_your_fighter,fighter
30,номер пиратом хожу три,хожу пиратом номер три,choose_your_fighter,fighter
31,я один из пиратов,хожу пиратом номер один,choose_your_fighter,fighter
32,фигура один номер,фигуркой номер один,choose_your_fighter,fighter
33,я иду как пират,хожу пиратом номер три,choose_your_fighter,fighter
34,номера три,фигуркой номер три,choose_your_fighter,fighter
35,я второй буду пират,я буду ходить вторым пиратом,choose_your_fighter,fighter
36,бы я хотел быть третьим пиратом,хочу ходить третьим пиратом,choose_your_fighter,fighter
37,я буду идти пират второй,я буду ходить вторым пиратом,choose_your_fighter,fighter
38,двадцать человеком третьим,дваигаюсь третьим человечком,choose_your_fighter,fighter
39,я на второй пойду пират,я пойду вторым пиратом,choose_your_fighter,fighter
40,поплавать хочу судном,хочу поплавать судном,choose_your_fighter,fighter
41,я буду кораблем ходить,я буду ходить кораблем,choose_your_fighter,fighter
42,я пойду первым пиратом,я пойду первым пиратом,choose_your_fighter,fighter
43,третий я человек,дваигаюсь третьим человечком,choose_your_fighter,fighter
44,хочу я плавать на корабле,хочу поплавать судном,choose_your_fighter,fighter
45,я бы хотел быть другой пират,хочу ходить вторым пиратом,choose_your_fighter,fighter
46,вторым ходить хочу пиратом,хочу ходить вторым пиратом,choose_your_fighter,fighter
47,пират первый сделал ход,первый пират делает ход,choose_your_fighter,fighter
48,первым дваигаюсь человечком,дваигаюсь первым человечком,choose_your_fighter,fighter
49,хожу пиратом три номер,хожу пиратом номер три,choose_your_fighter,fighter
50,я на корабль пойду,я пойду кораблем,choose_your_fighter,fighter
51,второй пират сделал ход,второй пират делает ход,choose_your_fighter,fighter
52,я пойду пират на третий,я пойду третьим пиратом,choose_your_fighter,fighter
53,третий пират ход сделал,третий пират делает ход,choose_your_fighter,fighter
54,я буду вторым пиратом,я буду ходить вторым пиратом,choose_your_fighter,fighter
55,третий ход делает пират,третий пират делает ход,choose_your_fighter,fighter
56,ход пират сделал третий,третий пират делает ход,choose_your_fighter,fighter
57,пиратом пойду третьим я,я пойду третьим пиратом,choose_your_fighter,fighter
58,я буду ходить в третьем пирате,я буду ходить третьим пиратом,choose_your_fighter,fighter
59,кораблик делает ход,кораблик делает ход,choose_your_fighter,fighter
60,фигуркой номер три,фигуркой номер три,choose_your_fighter,fighter
61,я буду ходить на лодке,я буду ходить кораблем,choose_your_fighter,fighter
62,я пираткой быть первой хочу,хочу ходить первым пиратом,choose_your_fighter,fighter
63,вторым буду я пиратом,я буду ходить вторым пиратом,choose_your_fighter,fighter
64,буду я первой пираткой,я буду ходить первым пиратом,choose_your_fighter,fighter
65,хожу корабликом,хожу корабликом,choose_your_fighter,fighter
66,первый пират делает ход,первый пират делает ход,choose_your_fighter,fighter
67,я хочу на третьего пойти пирата,хочу ходить третьим пиратом,choose_your_fighter,fighter
68,я первым пойду пиратом,я пойду первым пиратом,choose_your_fighter,fighter
69,быть бы я хотел третьим пиратом,хочу ходить третьим пиратом,choose_your_fighter,fighter
70,буду я вторым пиратом,я буду ходить вторым пиратом,choose_your_fighter,fighter
71,дваигаюсь человечком вторым,дваигаюсь вторым человечком,choose_your_fighter,fighter
