,command,intent
0,подвинь корабль влево,корабль влево
1,плыви налево,корабль влево
2,плыву влево,корабль влево
3,двигаюсь кораблем влево,корабль влево
4,лево руля,корабль влево
5,уплыви влевво,корабль влево
6,отчаливаю налево,корабль влево
7,судно налево,корабль влево
8,мы поплывем левее,корабль влево
9,на лодке налево,корабль влево
10,врубай мотор идем на запад,корабль влево
11,кораблем налево,корабль влево
12,я иду кораблем налево,корабль влево
13,корабль на клетку влево,корабль влево
14,шаг левее кораблем,корабль влево
15,Корабль налево.,корабль влево
16,Шаг влево от корабля,корабль влево
17,Плыви налево.,корабль влево
18,Мы поплывем налево.,корабль влево
19,Заводи мотор. Мы едем на запад.,корабль влево
20,Я полечу на корабле налево.,корабль влево
21,Я двигаюсь на корабле влево.,корабль влево
22,Передвиньте корабль влево.,корабль влево
23,Плыви влево,корабль влево
24,На корабле налево.,корабль влево
25,Я плыву налево.,корабль влево
26,На борту левого борта.,корабль влево
27,Руль слева,корабль влево
28,Корабль слева.,корабль влево
29,Отправляюсь влево,корабль влево
30,подвинуть большой корабль корабль влево,корабль влево
31,подвинуть сдвинуть корабль влево,корабль влево
32,подвинуть сдвинуть подвинуть корабль влево,корабль влево
33,подвинуть влево корабль,корабль влево
34,подвинуть пилотировать летательный аппарат влево,корабль влево
35,подвинуть корабль подвинуть сдвинуть влево,корабль влево
36,подвинуть корабль влево,корабль влево
37,корабль подвинуть влево,корабль влево
38,плыть плавный движение налево,корабль влево
39,плавный движение плыть налево,корабль влево
40,плавный движение налево,корабль влево
41,налево плыть,корабль влево
42,плыть налево,корабль влево
43,плыть передвигаться по вода налево,корабль влево
44,плавный движение влево,корабль влево
45,плыть плавный движение влево,корабль влево
46,плыть влево,корабль влево
47,влево плыть,корабль влево
48,плавный движение плыть влево,корабль влево
49,плыть передвигаться по вода влево,корабль влево
50,плыть на судно влево,корабль влево
51,двигаться большой корабль влево,корабль влево
52,шевелиться изменять положение тело двигаться корабль влево,корабль влево
53,двигаться влево корабль,корабль влево
54,двигаться большой корабль корабль влево,корабль влево
55,двигаться корабль влево,корабль влево
56,корабль двигаться влево,корабль влево
57,левый руль руль,корабль влево
58,руль левый,корабль влево
59,левый руль,корабль влево
60,левый сторона руль,корабль влево
61,руль левый руль,корабль влево
62,влеввыя уплыть,корабль влево
63,течение время влеввыя,корабль влево
64,уплыть течение время влеввыя,корабль влево
65,уплыть влеввый,корабль влево
66,уплыть удалиться влеввыя,корабль влево
67,налево отчаливать,корабль влево
68,отчаливать налево,корабль влево
69,отчалить сняться с якорь отчаливать налево,корабль влево
70,отчаливать отчалить сняться с якорь налево,корабль влево
71,отчалить сняться с якорь налево,корабль влево
72,судно водный средство транспорт налево,корабль влево
73,налево судно,корабль влево
74,подкладной судно налево,корабль влево
75,водный средство транспорт налево,корабль влево
76,водный средство транспорт судно налево,корабль влево
77,поплыть мы левый,корабль влево
78,мы поплыть левый сторона,корабль влево
79,мы левый поплыть,корабль влево
80,мы левый сторона поплыть левый,корабль влево
81,мы поплыть левый сторона левый,корабль влево
82,мы плавный движение левый,корабль влево
83,левый поплыть мы,корабль влево
84,мы плавный движение поплыть левый,корабль влево
85,мы поплыть левый,корабль влево
86,на лодка налево,корабль влево
87,налево лодка на,корабль влево
88,на подводный лодка лодка налево,корабль влево
89,подводный лодка на лодка налево,корабль влево
90,лодка на налево,корабль влево
91,на лодка подводный лодка налево,корабль влево
92,на подводный лодка налево,корабль влево
93,врубать мотор идти запад на запад,корабль влево
94,включение устройство мотор идти на запад,корабль влево
95,врубать мотор идти идти работа устройство на запад,корабль влево
96,врубать идти мотор на запад,корабль влево
97,запад мотор идти на врубать,корабль влево
98,врубать мотор идти на запад,корабль влево
99,врубать мотор идти на запад макрорегион,корабль влево
100,врубать мотор идти на западный местность,корабль влево
101,врубать мотор идти включение устройство на запад,корабль влево
102,врубать на идти мотор запад,корабль влево
103,пилотировать летательный аппарат налево,корабль влево
104,корабль большой корабль налево,корабль влево
105,налево корабль,корабль влево
106,корабль налево,корабль влево
107,я идти идти работа устройство корабль налево,корабль влево
108,я идти пилотировать летательный аппарат налево,корабль влево
109,я идти большой корабль корабль налево,корабль влево
110,я идти корабль налево,корабль влево
111,я корабль идти налево,корабль влево
112,налево идти корабль я,корабль влево
113,я идти нога корабль налево,корабль влево
114,идти я корабль налево,корабль влево
115,корабль клетка узор на клетка влево,корабль влево
116,корабль на клетка узор клетка влево,корабль влево
117,корабль на клетка организм влево,корабль влево
118,корабль на клетка квадрат влево,корабль влево
119,корабль на большой корабль клетка влево,корабль влево
120,влево на клетка корабль,корабль влево
121,корабль на клетка влево,корабль влево
122,корабль клетка на влево,корабль влево
123,шаг левый пилотировать летательный аппарат,корабль влево
124,большой корабль шаг левый корабль,корабль влево
125,шаг звук шаг левый корабль,корабль влево
126,шаг левый сторона корабль,корабль влево
127,левый шаг корабль,корабль влево
128,шаг левый корабль,корабль влево
129,шаг корабль левый,корабль влево
130,шаг левый сторона левый корабль,корабль влево
131,большой корабль корабль налево,корабль влево
132,корабль влево от шаг,корабль влево
133,этап процесс влево от корабль,корабль влево
134,шагнуть сделать шаг влево от корабль,корабль влево
135,шаг большой корабль влево от корабль,корабль влево
136,шаг влево корабль от,корабль влево
137,шаг корабль от влево,корабль влево
138,шаг влево от корабль,корабль влево
139,шаг звук шаг влево от корабль,корабль влево
140,шаг влево от большой корабль корабль,корабль влево
141,поступь походка влево от корабль,корабль влево
142,плыть на судно налево,корабль влево
143,мы поплыть плавный движение налево,корабль влево
144,налево поплыть мы,корабль влево
145,мы плавный движение налево,корабль влево
146,мы плыть передвигаться по вода налево,корабль влево
147,плавный движение мы поплыть налево,корабль влево
148,мы плавный движение поплыть налево,корабль влево
149,мы поплыть налево,корабль влево
150,мы налево поплыть,корабль влево
151,ввести привести заводить мотор мы ехать на запад,корабль влево
152,заводить ехать двигаться при помощь средство передвижение мотор мы ехать на запад,корабль влево
153,заводить мотор мы на ехать запад,корабль влево
154,заводить мотор мы ехать на западный местность,корабль влево
155,завести механизм устройство мотор мы ехать на запад,корабль влево
156,заводить мотор мы ехать на запад,корабль влево
157,заводить мотор мы ехать двигаться при помощь средство передвижение ехать на запад,корабль влево
158,на мотор мы ехать заводить запад,корабль влево
159,заводить ехать мы мотор на запад,корабль влево
160,заводить двигатель мы ехать на запад,корабль влево
161,я полечить на большой корабль корабль налево,корабль влево
162,я лечение на корабль налево,корабль влево
163,я полечить большой корабль на корабль налево,корабль влево
164,я полечить на большой корабль налево,корабль влево
165,большой корабль я полечить на корабль налево,корабль влево
166,полечить я на корабль налево,корабль влево
167,я полечить налево корабль на,корабль влево
168,я полечить на налево корабль,корабль влево
169,я полечить на корабль налево,корабль влево
170,большой корабль я двигаться на корабль влево,корабль влево
171,я двигаться на пилотировать летательный аппарат влево,корабль влево
172,я двигаться корабль на влево,корабль влево
173,я двигаться на большой корабль влево,корабль влево
174,я двигаться влево корабль на,корабль влево
175,я двигаться на корабль влево,корабль влево
176,я двигаться на большой корабль корабль влево,корабль влево
177,я большой корабль двигаться на корабль влево,корабль влево
178,корабль передвинуть влево,корабль влево
179,передвинуть пилотировать летательный аппарат влево,корабль влево
180,передвинуть большой корабль корабль влево,корабль влево
181,передвинуть корабль влево,корабль влево
182,перенос на другой время передвинуть корабль влево,корабль влево
183,влево корабль передвинуть,корабль влево
184,двигать перемещать корабль влево,корабль влево
185,передвинуть корабль большой корабль влево,корабль влево
186,налево корабль на,корабль влево
187,на налево корабль,корабль влево
188,на корабль налево,корабль влево
189,на корабль большой корабль налево,корабль влево
190,на большой корабль налево,корабль влево
191,корабль на налево,корабль влево
192,на пилотировать летательный аппарат налево,корабль влево
193,большой корабль на корабль налево,корабль влево
194,я плавный движение налево,корабль влево
195,я плыть на судно налево,корабль влево
196,налево плыть я,корабль влево
197,я плыть налево,корабль влево
198,я плыть плавный движение налево,корабль влево
199,плавный движение я плыть налево,корабль влево
200,я налево плыть,корабль влево
201,плыть я налево,корабль влево
202,на борт борт левый,корабль влево
203,на борт левый сторона борт,корабль влево
204,на борт левый сторона левый борт,корабль влево
205,на борт левый летательный аппарат,корабль влево
206,борт на левый борт,корабль влево
207,на борт левый бортовый стенка борт,корабль влево
208,на борт левый бортовый стенка,корабль влево
209,на борт левый борт,корабль влево
210,слева руль,корабль влево
211,руль руль слева,корабль влево
212,руль слева,корабль влево
213,корабль слева,корабль влево
214,слева корабль,корабль влево
215,большой корабль слева,корабль влево
