,Unnamed: 0,command,orig,intent,entity
0,0,я пиратом быть хочу,хожу пиратом номер два,choose_your_fighter,fighter
1,1,хочу чтобы пираткой была третья,третьим ходить хочу пиратом,choose_your_fighter,fighter
2,2,пират сделал третий с пиратом ход,сделал пират третий ход,choose_your_fighter,fighter
5,5,я пиратом первым был,я первый пират,choose_your_fighter,fighter
8,8,может я хотела быть третьей пираткой,быть бы я хотел третьим пиратом,choose_your_fighter,fighter
9,9,пиратом хочу быть я,хожу пиратом номер два,choose_your_fighter,fighter
11,11,на лодку поплавать хочу,хочу плавать на лодке,choose_your_fighter,fighter
12,12,на третьем я хочу идти,на третьего хочу пойти я пирата,choose_your_fighter,fighter
13,13,идет в ход первая пиратка,первая в ход идет пиратка,choose_your_fighter,fighter
16,16,фигурка один номер,фигурка номер один,choose_your_fighter,fighter
19,19,хочу я попасть на корабль,я хочу на корабле плавать,choose_your_fighter,fighter
21,21,я бы хотел чтобы я был пиратом,я бы хотел другой быть пират,choose_your_fighter,fighter
29,29,пиратка делает ход,пират третий делает ход,choose_your_fighter,fighter
32,32,пират сделал первый в мире шаг,ход пират делает первый,choose_your_fighter,fighter
33,33,бы хотелось мне быть пиратом,я бы хотел быть другой пират,choose_your_fighter,fighter
39,39,пойду я к третьему пирату,я к третьему пойду пирату,choose_your_fighter,fighter
40,40,номер один,номер один,choose_your_fighter,fighter
41,41,я пират номер один,я пират номер один,choose_your_fighter,fighter
46,46,номера три,фигурка три номер,choose_your_fighter,fighter
47,47,я буду на лодке ходить,я ходить буду кораблем,choose_your_fighter,fighter
50,50,бы я хотел быть первым пиратом,хотел бы я пиратом первым быть,choose_your_fighter,fighter
52,52,фигурка один номер,фигурка один номер,choose_your_fighter,fighter
54,54,я хочу плавать на корабле,я хочу плавать на корабле,choose_your_fighter,fighter
57,57,я буду вторым пиратом,я буду вторым пиратом,choose_your_fighter,fighter
58,58,я на корабле поплыву,я на корабле поеду,choose_your_fighter,fighter
64,64,хочу пойти пираткой с другой,я с другим пойти хочу пиратом,choose_your_fighter,fighter
69,69,хочу быть первым пиратом,я первой быть хочу пираткой,choose_your_fighter,fighter
72,72,я пойду на корабль,я ходить буду кораблем,choose_your_fighter,fighter
73,73,я на корабле ходил,я гулял на корабле,choose_your_fighter,fighter
75,75,я на корабле поплыву,корабликом хожу,choose_your_fighter,fighter
76,76,бы я хотел быть третьим пиратом,хочу третьим ходить пиратом,choose_your_fighter,fighter
78,78,хотел бы я быть третьим пиратом,хотел бы я быть третьим пиратом,choose_your_fighter,fighter
86,86,делает ход кораблик,делает кораблик ход,choose_your_fighter,fighter
87,87,на корабле,на корабле,choose_your_fighter,fighter
90,90,хотел бы я быть третьим пиратом,ходить хочу третьим пиратом,choose_your_fighter,fighter
92,92,третьей быть я хотела быть может пираткой,быть бы я хотел третьим пиратом,choose_your_fighter,fighter
93,93,хочу пираткой стать,хочу я быть пиратом,choose_your_fighter,fighter
94,94,близнецы не такие же как и все,близнецы другие люди,choose_your_fighter,fighter
97,97,другой человек,человек другой,choose_your_fighter,fighter
98,98,хотел быть бы я другим пиратом,я бы хотел быть другой пират,choose_your_fighter,fighter
99,99,второй пошел против пирата,второй делает пират ход,choose_your_fighter,fighter
104,104,первой я буду пираткой,первой буду я пираткой,choose_your_fighter,fighter
111,111,первой буду я пираткой,я буду пираткой первой,choose_your_fighter,fighter
122,122,хотел первым быть бы я пиратом,хочу первым ходить пиратом,choose_your_fighter,fighter
125,125,пошевеливайся как первый человек,пошевеливайся как первый человек,choose_your_fighter,fighter
129,129,другие люди близнецы,близнецы люди другие,choose_your_fighter,fighter
130,130,я пойду по кораблю,кораблем буду ходить я,choose_your_fighter,fighter
131,131,если первым был бы я пиратом,быть бы хотел я первой пираткой,choose_your_fighter,fighter
133,133,пиратка первая в списке,в ход пиратка идет первая,choose_your_fighter,fighter
135,135,на корабле поплыву я,корабликом иду я,choose_your_fighter,fighter
136,136,поеду я на корабле,на корабле поеду я,choose_your_fighter,fighter
139,139,третий совершил пиратский поход,третий сделал пират ход,choose_your_fighter,fighter
141,141,хотел другим быть бы я пиратом,хочу ходить пиратом вторым,choose_your_fighter,fighter
147,147,хочу я чтобы я была пираткой,хочу я быть пиратом,choose_your_fighter,fighter
149,149,я один из пиратов,из пиратов один я,choose_your_fighter,fighter
151,151,близнецы и другие,дваигаюсь вторым человечком,choose_your_fighter,fighter
157,157,я пойду на третьего пирата,я пойду на третий пират,choose_your_fighter,fighter
161,161,хотел бы я быть пиратом первым,хотел бы я быть первым пиратом,choose_your_fighter,fighter
162,162,хотел бы я быть другим пиратом,вторым ходить хочу пиратом,choose_your_fighter,fighter
166,166,я буду на корабле ходить,на корабле буду ходить я,choose_your_fighter,fighter
168,168,первый пиратский корабль работает,первая пиратка идет в ход,choose_your_fighter,fighter
171,171,машина на корабле движется,машина делает ход корабля,choose_your_fighter,fighter
173,173,на корабле поплыву я,я на корабле поеду,choose_your_fighter,fighter
174,174,я на корабле гулял,я на корабле гулял,choose_your_fighter,fighter
176,176,я пойду на лодку,я на лодке ходить буду,choose_your_fighter,fighter
178,178,бы я хотел быть другим пиратом,хочу ходить пиратом вторым,choose_your_fighter,fighter
180,180,это я третий человек,человек третий я,choose_your_fighter,fighter
181,181,хочу плавать на лодке,поплавать хочу судном,choose_your_fighter,fighter
183,183,я еду на корабль,я на лодке ходить буду,choose_your_fighter,fighter
185,185,на корабле поплыву я,корабликом хожу,choose_your_fighter,fighter
187,187,третьим хочу быть пиратом я,третьим ходить хочу пиратом,choose_your_fighter,fighter
188,188,корабль пешком,ход делает кораблик,choose_your_fighter,fighter
190,190,третья я,я третий человек,choose_your_fighter,fighter
196,196,хотел пираткой быть бы я,хотел другим быть бы я пиратом,choose_your_fighter,fighter
199,199,раз я в первый пойду,пират пойду в первый я,choose_your_fighter,fighter
200,200,другие близнецы люди,близнецы другие люди,choose_your_fighter,fighter
201,201,фигура номер три,фигуркой номер три,choose_your_fighter,fighter
203,203,я пойду на третьего пирата,на третьего пойду я пирата,choose_your_fighter,fighter
207,207,я хочу попасть на корабль,я хочу на корабле плавать,choose_your_fighter,fighter
208,208,быть бы я хотел первым пиратом,хотел бы я быть первым пиратом,choose_your_fighter,fighter
209,209,мне бы хотелось еще быть одной пираткой,хотел бы я быть другим пиратом,choose_your_fighter,fighter
213,213,хотелось бы я третьего пирата,хочу третьим ходить пиратом,choose_your_fighter,fighter
217,217,я хочу первым быть пиратом,я первой быть хочу пираткой,choose_your_fighter,fighter
222,222,я ходил на корабле,я гулял на корабле,choose_your_fighter,fighter
224,224,плавать хочу на корабле я,я хочу на корабле плавать,choose_your_fighter,fighter
226,226,поплавать хочу я на корабле,я хочу плавать на корабле,choose_your_fighter,fighter
228,228,на лодке поплыву я,я на лодке ходить буду,choose_your_fighter,fighter
230,230,я пойду к третьей пиратке,я к третьему пойду пирату,choose_your_fighter,fighter
231,231,я пойду на третьего пирата,я пойду на третьего пирата,choose_your_fighter,fighter
235,235,я поеду на корабле,я пойду кораблем,choose_your_fighter,fighter
239,239,я хочу плавать на лодке,плавать хочу на лодке,choose_your_fighter,fighter
240,240,одна есть только у меня комната,хожу пиратом один номер,choose_your_fighter,fighter
241,241,хотел бы я быть третьим пиратом,бы я хотел быть третьим пиратом,choose_your_fighter,fighter
251,251,я пойду второй на пирата,я пойду пират второй,choose_your_fighter,fighter
252,252,одна еще фигура,другая фигура,choose_your_fighter,fighter
257,257,три пирата сделали пиратский ход,ход пирата делают три,choose_your_fighter,fighter
258,258,пойду я к кораблю,буду я ходить на лодке,choose_your_fighter,fighter
259,259,на корабль я пойду,пойду я на корабль,choose_your_fighter,fighter
261,261,первый я,первый я человек,choose_your_fighter,fighter
263,263,я пойду с другой пираткой,я пойду с другим пиратом,choose_your_fighter,fighter
264,264,я хочу быть пиратом,хожу пиратом номер два,choose_your_fighter,fighter
